AoI_case1,AoI_case2,AoI_case3,AoI_case4
[0.48797439],[0.4845448],[0.48232103],[0.48525855]
[0.48214497],[0.47603252],[0.47216887],[0.47404865]
[0.47570778],[0.46639334],[0.4608283],[0.4615561]
[0.46948318],[0.45643586],[0.44963597],[0.44908527]
[0.46310609],[0.44670445],[0.43880224],[0.43636863]
[0.45670417],[0.43791796],[0.42871219],[0.42444386]
[0.45093144],[0.42920497],[0.419622],[0.41420379]
[0.44510262],[0.42163584],[0.41155217],[0.40482161]
[0.44016012],[0.4148031],[0.40442834],[0.39726355]
[0.43559432],[0.40864855],[0.39829347],[0.39000941]
[0.43130824],[0.40360377],[0.39285039],[0.38404278]
[0.42745132],[0.3992885],[0.38834531],[0.37918574]
[0.42400622],[0.395014],[0.38456797],[0.37507489]
[0.42094484],[0.39154625],[0.38144733],[0.37190971]
[0.41836534],[0.38849317],[0.37881063],[0.36921304]
[0.41589354],[0.38616148],[0.37655911],[0.36743477]
[0.41372517],[0.38395376],[0.37489138],[0.36584411]
[0.41191589],[0.38221919],[0.37338155],[0.36496622]
[0.4102343],[0.38092508],[0.37260878],[0.36392628]
[0.40885295],[0.37994306],[0.37204771],[0.36367583]
