Goodput_case1,Goodput_case2,Goodput_case3,Goodput_case4
[88781.6],[114507.6],[132323.6],[111800.]
[99539.2],[134934.],[156609.6],[146341.6]
[106490.],[148948.8],[173203.2],[171550.8]
[110741.6],[158257.6],[182879.6],[188404.]
[113262.8],[163012.8],[187644.4],[197664.8]
[114734.4],[164955.2],[188335.6],[201863.6]
[115021.6],[165154.],[187296.],[201978.4]
[114598.8],[163557.2],[184603.2],[200151.6]
[113405.6],[161253.2],[180983.6],[196119.2]
[111781.2],[158472.8],[176610.],[191437.6]
[110408.4],[155073.6],[171807.2],[186049.6]
[108432.4],[151254.8],[166994.],[180447.2]
[106670.8],[147675.6],[162037.6],[174584.4]
[104618.4],[143654.4],[156974.],[168806.4]
[102677.6],[139838.8],[152253.6],[163190.]
[100755.2],[136260.8],[147588.],[157812.4]
[98820.8],[132612.4],[142984.],[152653.2]
[96839.2],[129043.2],[138788.],[147674.4]
[94892.8],[125606.8],[134613.2],[142923.2]
[93019.2],[122264.4],[130598.4],[138305.2]
