Goodput_case1,Goodput_case2,Goodput_case3,Goodput_case4
[4998.8],[4944.8],[4992.],[4963.6]
[48455.2],[55536.8],[56842.8],[57648.4]
[77668.8],[97943.6],[102773.6],[107245.6]
[97410.4],[129796.],[139753.2],[148914.]
[108718.8],[151130.4],[166368.],[179694.]
[114624.8],[162105.2],[182084.],[197660.8]
[115288.8],[165214.],[188384.4],[202448.4]
[113380.4],[162134.],[186685.2],[195756.]
[109056.],[153682.],[178464.4],[180567.6]
[103690.8],[143773.6],[166332.4],[160605.6]
[96490.],[130692.8],[152293.2],[138232.4]
[90086.],[117161.6],[135138.4],[115278.4]
[83064.4],[104206.],[119001.6],[93929.6]
[75689.2],[90632.],[103099.2],[74868.4]
[68288.],[78671.6],[87882.4],[58481.6]
